PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Hill Coefficient,Curve R2,Data Type,Compound Type,Compound QC,Data Analysis QC,NCGC Comment,Curve Fit Model,Hill S0,Hill Sinf,Hill dS,Log AC50 Std Error,Curve Chi2f,Excluded Points,Number of Points,Activity at 0.732nM,Activity at 1.636nM,Activity at 3.658nM,Activity at 8.18nM,Activity at 18.291nM,Activity at 0.041uM,Activity at 0.091uM,Activity at 0.204uM,Activity at 0.457uM,Activity at 1.022uM,Activity at 2.286uM,Activity at 5.111uM,Activity at 11.429uM,Activity at 25.556uM,Activity at 0.057mM
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,STRING,STRING,STRING,STRING,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"Indicates direction of activity: inactive, decreasing, increasing.","Indicates if AC50 is = to value or if it is infinite activity (i.e, inactive), >.",Qualified AC50; can be an IC50 or EC50.,Log of AC50.,Hill slope of fitted curve.,R^2 fit value of curve. Closer to 1.0 equates to better Hill equation fit.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'","NCGC designation for compound stage: 'NCGC Exploratory', 'NIHSMR', 'Compound Followup', 'Compound Verification', 'Probe Optimization'","NCGC comment on compound QC: 'DPI QC', 'NCGC Purified'","NCGC comment on confidence of data: 'Curve Verfied', etc","Annotation/notes on a particular compound's data: e.g, 'cytotoxic', 'fluorescent artifact'",Curve fitting model used.,S0 of Hill Equation,Sinf of Hill Equation,dS of Hill Equation,Standard error for Log AC50.,Sqrt(X^2/f) of curve where X^2 is chi-squared. Lower number is a better fit.,Individual points excluded from curve fitting.,Number of valid points used for fitting.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.
RESULT_UNIT,,,,,,,,,,NONE,NONE,NONE,NONE,,,,,,,NONE,NONE,NONE,NONE,NONE,,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
1,4238703,3233812,COC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3N4CCOCC4,Active,62,,,decreasing,=,6.31e-07,-6.2,1.48,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.6,-124.7,123.1,,,0 0 0 0 0 0 0,,,,-2.5,,-2.4,,-9.8,,-45.9,,-107.8,,-123,,-126.7
2,4239686,3234793,CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3N4CCOCC4,Active,59,,,decreasing,=,1.26e-06,-5.9,1.37,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",4,-125.6,129.6,,,0 0 0 0 0 0 0,,,,0.1,,8.4,,-1.2,,-21.4,,-88.6,,-117.8,,-125.3
3,4239896,3235003,COC1=CC=CC=C1C2=CC(=NC=N2)NC3=CC=NN3,Active,62,,,decreasing,=,6.31e-07,-6.2,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.3,-126,123.7,,,0 0 0 0 0 0 0,,,,-4.4,,-4.5,,-20.4,,-50.7,,-100,,-119.5,,-125.1
4,4239792,3234899,C1=CC(=CC=C1NC2=NC=NC3=C2C=C(C=C3)C4=COC=C4)F,Active,60,,,decreasing,=,1e-06,-6,1.37,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4,-126.4,122.4,,,0 0 0 0 0 0 0,,,,-0.7,,-2.6,,-13.3,,-33.9,,-100.5,,-120.9,,-125
5,4238356,3233467,CC1=CC(=CC=C1)CNC2=NC(=NC=C2)C3=CN=CC=C3,Active,69,,,decreasing,=,1.26e-07,-6.9,1.34,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.1,-121.6,122.7,,,0 0 0 0 0 0 0,,,,-5.2,,-2.6,,-45.9,,-101.3,,-118.5,,-121.9,,-124.1
6,4237532,3232645,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC=C3Cl)NC4=CC=NC=C4,Active,63,,,decreasing,=,5.01e-07,-6.3,1.17,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.9,-122.6,118.6,,,0 0 0 0 0 0 0,,,,-4.8,,-7.5,,-14.6,,-62,,-103.2,,-118.8,,-124
7,4238823,3233931,COC1=CC=CC=C1CNC2=NC(=NC=C2)C3=CC=CC(=C3)C#N,Active,61,,,decreasing,=,7.94e-07,-6.1,1.34,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3,-121.5,118.5,,,0 0 0 0 0 0 0,,,,-2.5,,-3.7,,-11.8,,-37.9,,-97.5,,-117.5,,-124
