PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically signficant, but below 80% of control.",The logarithm of the AC50 from a fit of the ratio data to the Hill equation (calculated based on Molar units).,The Hill slope from a fit of the ratio data to the Hill equation.,R^2 fit value of ratio curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the ratio data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the ratio data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.0007,0.0016,0.0037,0.0082,0.0183,0.0409,0.0915,0.2045,0.4572,1.0224,2.286,5.1115,11.4293,25.5558,57.1429,
1,11112150,135398658,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.907,9.152,32.11,-6.72,-16.87,-5.38,44.31,33.39,-14.1,-11.4,9.276,-9.173,-1.039,0.0981,-2.907,,QC'd by Prestwick
2,4252894,3246139,C1=CC(=CC=C1C(=O)CSC2=NC(=NC3=C2NC=N3)N)Br,Inactive,0,,,Inactive,,,,,,,,,,4,,-17.5,6.628,,-0.8852,,7.776,,6.75,,12.78,,23.07,,-17.5,,,QC'd by NCI
3,26751166,10082482,COC(=O)C([C@@H]1CCCC(=O)C1)C(=O)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.3,-2.057,,6.104,,6.712,,-0.0412,,-6.358,,-6.724,,-21.3,,,QC'd by BUCMLD
4,4239835,3234942,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC=C(C=C4)F)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,4.026,,,12.88,,0.2508,,-9.878,,15.37,,8.122,,8.307,,4.026,QC'd by Pharmacopeia
5,4253520,266698,C1CCC(C1)(C#N)NC2=CC=C(C=C2)C3=CC=C(C=C3)NC4(CCCC4)C#N,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.077,-2.907,,-4.337,,14.14,,-2.239,,5.555,,9.852,,-5.077,,,QC'd by NCI
6,4238421,3233531,C1=CC(=CC(=C1)C2=CC(=NC=N2)N3C=CN=C3)C#N,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.238,,,9.903,,-1.757,,-2.931,,-10.24,,-5.238,,,,,QC'd by Pharmacopeia
7,11111648,5917,C1CCC2=NN=NN2CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.694,-11.48,36.21,-10.21,7,11.18,-4.152,4.381,-6.052,1.232,-5.384,12.79,-9.91,-13.09,-7.694,,QC'd by Prestwick
