PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007317399 uM,Activity at 0.00164 uM,Activity at 0.00366 uM,Activity at 0.00370 uM,Activity at 0.00818 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.091 uM,Activity at 0.092 uM,Activity at 0.204 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.111 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically signficant, but below 80% of control.",The logarithm of the AC50 from a fit of the ratio data to the Hill equation.,The Hill slope from a fit of the ratio data to the Hill equation.,R^2 fit value of ratio curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the ratio data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the ratio data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.00073174,0.00163617,0.00365848,0.0037,0.00818036,0.0183,0.0408993,0.0914508,0.0915,0.204484,0.4572,1.02236,2.286,5.11148,11.4293,25.5558,57.1429,
1,11112150,135398658,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.5753,-12.9288,-12.9425,-8.2878,,-14.6414,-4.6618,-22.3078,2.4604,,-7.7044,-8.5541,-3.412,-13.7863,-11.5527,-11.5848,-24.5753,,QC'd by Prestwick
2,4253520,266698,C1CCC(C1)(C#N)NC2=CC=C(C=C2)C3=CC=C(C=C3)NC4(CCCC4)C#N,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.898,-11.1615,,-3.2877,,,-11.4532,,-1.921,,,-10.2459,,-15.3279,,-20.898,,,QC'd by NCI
3,4239835,3234942,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC=C(C=C4)F)OC,Active,84,,,Inhibitor,3.1623,84.3805,,Complete curve; high efficacy,-5.5,4.4495,0.9689,-88.9174,-4.5368,-1.1,0 0 0 0 0 0 0,-76.6849,,,-2.264,,,-2.712,,-7.2452,,,-4.1883,,-22.1195,,-100.465,,-76.6849,QC'd by Pharmacopeia
4,4238700,3233809,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC=CS4)OC5=CC=C(C=C5)OC,Inconclusive,20,,,Inhibitor,3.1623,20.0201,,Complete curve; partial efficacy; poor fit,-5.5,3.132,0.863,-27.2561,-7.236,-1.4,0 0 0 0 0 0 0,-21.7708,,,-8.6316,,,-3.9467,,-9.6138,,,-5.1287,,-13.2802,,-32.7135,,-21.7708,QC'd by Pharmacopeia
5,17389122,6348,C(=S)=S,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.8373,-2.5397,-0.8219,1.1328,,4.4371,-1.5463,1.6603,-0.0925,,-4.8184,-5.5248,-6.4547,-4.3686,6.2253,-5.41,-9.4048,-10.8373,QC'd by NIEHS/NTP
