,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,is_organic
7,C(C1C(C(C([C@@H](O1)OC2C(C(O[C@@]2(CO)O[C@H]3C(C(C(C(O3)CO)O)O)O)CO)O)O)O)O)O,Inactive,0,True
25,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O.Cl,Inactive,0,True
28,CC1=CCC(CC1O)C(=C)C,Inactive,0,True
34,CC1=C2C(=C(C(=C1Cl)OC(=O)C)Cl)OC3=C(C(=C(C=C3OC2=O)OC)C(=O)OC)C,Active,41,True
40,C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=CC=C4,Inactive,0,True
41,CC1=CCC(CC1OC(=O)C)C(=C)C,Inactive,0,True
47,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,Active,43,True
61,CC1=CC(=O)OC2=C1C=CC(=C2)OC,Inactive,0,True
75,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],Inactive,0,True
82,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C=C3OC)OC)O)OC,Active,85,True
86,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Active,42,True
94,C1=CC(=CC=C1O)O[C@@H]2C(C(C(C(O2)CO)O)O)O,Inactive,0,True
99,CC(=O)C1=C(C=C(C=C1O)O)O,Active,45,True
118,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,Inactive,0,True
125,CC(=CCCC1(C=CC2=C(O1)C(=C3C(=C2OC(=O)C)C(=O)C4=CC5CC6[C@]4(O3)C(C5=O)(OC6(C)C)C/C=C(\C)/C(=O)O)CC=C(C)C)C)C,Active,42,True
131,C1[C@H]([C@H](C(C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Inactive,0,True
137,CC(=O)CC1CCCCN1.Cl,Inactive,0,True
153,CC(C)CCCC(C)C1CCC2[C@]1(CCC3C2CC=C4[C@]3(CCC(C4)OC(=O)C)C)C,Inactive,0,True
155,CCCC(CCCC(CCC(CCC(CCC(CCCC(CCC)Cl)Cl)Cl)Cl)Cl)Cl,Inactive,0,True
156,CCCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCCN(CC)CC.Cl,Active,86,True
163,C[C@@]12CCC3C(CC(=O)O[C@@]3(C1)C4CC(C4CC2)(C)C)C(=O)O,Inactive,0,True
166,CCC(CC(C(C(C(C(C)Cl)Cl)Cl)Cl)Cl)Cl,Inactive,0,True
172,CC1CCC(C(=O)C1)C(C)C,Inactive,0,True
181,CC(=CC1C(C1(C)C)CO)C,Inactive,0,True
184,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/C2=CC(=C(C=C2)O)O)C(=O)O)O)O,Inactive,0,True
185,C1CN(C(=N1)N)CC(=O)O,Inactive,0,True
189,CC(=CCCC(=C)C=C)C,Inactive,0,True
192,CC(=O)/C=C\C1[C@@]2(CCCC(C2CC[C@@]1(C)O)(C)C)C,Inactive,0,True
202,C[C@@]1(CCC[C@@]2(C1CCC(=C)C2CC[C@](C)(C=C)O)C)CO,Active,86,True
204,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl,Active,42,True
205,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,Inactive,0,True
215,CC(=O)OC1CC(=C)C(C2(C1C(CCC2)(C)C)C)CC[C@](C)(C=C)O,Active,87,True
225,CC1(CCCC2(C1C(CC(=C)C2CC[C@](C)(C=C)O)O)C)C,Active,65,True
228,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],Inactive,0,True
230,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl,Inactive,0,True
237,CC1(C2CC1C(=C)C(C2)N)C.Cl,Inactive,0,True
243,COC1=CC(=C(C=C1C(=O)OCCN2CCCCC2)Cl)N,Active,41,True
248,C(CCN)CN.Cl.Cl,Inactive,0,True
251,CC1(CC2C1CCC3(CCCC2(C3)O)C)C,Inactive,0,True
255,C(C(=O)O)(Cl)Br,Inactive,0,True
263,CC1(CC2C1CCC(=O)C(CCC2=C)C3CC(=O)OC3=O)C,Inactive,0,True
267,CCCCOC(=O)C1=CC=CC=C1N,Inactive,0,True
270,C1=CC=C(C=C1)CCNN.OS(=O)(=O)O,Active,43,True
278,CCC/C=N/O,Inactive,0,True
281,CC(=O)NCCC(=O)C1=C(C=CC(=C1)OC)CN=O,Inactive,0,True
286,CCCC(=O)OC(=O)CCC,Inactive,0,True
295,CCCOCC(C)OCC(C)O,Inactive,0,True
299,CC1(CC2C1CCC(=C)C(CCC2=O)O)C,Active,65,True
302,CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl,Active,41,True
313,CC1(CC2C1CCC3(C(O3)CCC2(C)OC)C)C,Active,42,True
319,CCCC(=O)Cl,Inactive,0,True
328,C(CC(C(=O)O)N)CN=C(N)N[N+](=O)[O-],Inactive,0,True
332,C[C@H]\1[C@@H]2CC(C2(C)C)C/C1=N\O,Inactive,0,True
334,CCCCCCCC(=O)Cl,Inactive,0,True
342,C/C/1=C\CC2[C@@H](CC2(C)C)C(=C)CCC1OC(=O)C,Active,40,True
343,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4.Cl.Cl,Inactive,0,True
349,C1CCC(C1)(C(=O)O)N,Inactive,0,True
357,COC(=O)NC1=NC2=CC=CC=C2N1,Inactive,0,True
364,C1CN(CCN1C2CC3=CC=CC=C3C2)C4=C5C(=CC=C4)OCCO5,Inactive,0,True
365,CC1(CC2C1CCC3(C(=O)CCC2(O3)C)C)C,Inactive,0,True
367,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,Inactive,0,True
368,CC1C[C@H](C(=O)C(C1)C)C(CC2CC(=O)NC(=O)C2)O,Inactive,0,True
375,C1=CC=C(C=C1)CSCC2=CC=CC=C2,Inactive,0,True
378,C(C(C1C(=C(C(=O)O1)O)O)O)O,Inactive,0,True
380,CCCNC(C)C(=O)NC1=CC=CC=C1C.Cl,Inactive,0,True
381,C(C(C(C([C@@H](C(=O)O)N)O)O)O)O,Inactive,0,True
385,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,Inactive,0,True
386,CCCN1C(=NC2=C(N=C(N=C21)C)NCCN(C)C)C3=CC=C(C=C3)F,Inactive,0,True
388,CC(=O)CCC1=CC=CC=C1,Inactive,0,True
398,CCCN1C(=NC2=C(N=C(N=C21)C)NC(C)CCCN(CC)CC)C3=CC=C(C=C3)F,Active,42,True
399,CCCCN1C2CCC1CC(C2)OC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl,Inactive,0,True
