,smiles,MW,LogP,NumHetAtoms,NumAromRings,NumAliphaticRings,RNH2,Ar_N,Pyr,Cyan,CCCC(C)CC#N
0,COc1cccc(N2C[C@@H]([NH+]3CCc4ccccc43)CC2=O)c1,309.16,1.573,4.0,2.0,2.0,0.0,0.0,0.0,0.0,
1,COc1ccc(-c2nn(C3CCCC3)c(=O)c3ccccc23)c(O)c1,336.147,3.893,5.0,3.0,1.0,0.0,2.0,0.0,0.0,
2,COc1cccc(N2C(=O)[C@H]3C[C@]4(C)C3=CC=CC=CN24)c1O,310.132,2.753,5.0,1.0,4.0,0.0,0.0,0.0,0.0,
3,COc1ccccc1N1C(=O)[C@@H]2C[C@@]1(O)c1ccc(Cl)cc12,315.066,3.028,5.0,2.0,2.0,0.0,0.0,0.0,0.0,
4,COc1ccccc1[C@@H]1C(=O)NC(c2ccc(F)cc2)=C([O-])C1=O,326.083,1.346,6.0,2.0,1.0,0.0,0.0,0.0,0.0,
5,COc1ccc(N2C(=O)C[C@H](c3ccc4c(c3)OCO4)C2=O)cc1,325.095,2.471,6.0,2.0,2.0,0.0,0.0,0.0,0.0,
6,CC(C)c1cc(C[C@H](C)C(=O)Nc2ccccc2I)ccc1I,532.971,5.837,4.0,2.0,0.0,0.0,0.0,0.0,0.0,
7,CCC(CC)c1ccc(C[C@H](C)C(=O)Nc2ccc(I)cc2)cc1I,561.003,6.617,4.0,2.0,0.0,0.0,0.0,0.0,0.0,
8,CC[NH+](Cc1ccccc1I)Cc1ccc(C(C)C)cc1C(C)C,436.15,5.143,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
9,CCC(CC)c1cc(C[NH+](C)CCc2ccc(I)cc2)ccc1I,548.031,5.057,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
10,CCC(CC)c1cc(C[NH+](CC)c2ccc(I)cc2)ccc1I,534.015,5.536,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
11,CCCc1c(C)n(CC(=O)N(C)CCc2ccc(I)cc2)c2ccccc12,474.117,5.208,4.0,3.0,0.0,0.0,1.0,0.0,0.0,
12,CC(C)c1cc(C[C@H](C)C(=O)Nc2cccc(I)c2)ccc1I,532.971,5.837,4.0,2.0,0.0,0.0,0.0,0.0,0.0,
13,CCc1c(C)c(C)n(CC(=O)c2ccc(I)cc2)c1CCC(C)C,437.122,5.743,3.0,2.0,0.0,0.0,1.0,0.0,0.0,
14,Cc1c(C[C@H](C)C(=O)c2ccccc2I)ccc(I)c1CC(C)C,545.992,6.464,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
15,CCC(CC)c1cc(C[NH+](CC)CC(C)C)c2ccc(I)cc2c1,438.165,5.409,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
16,Cc1cccc(C(=O)NC(=S)Nc2ccc(C(=O)NC(C)C)cc2)c1O,371.13,2.966,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
17,Cc1cccc(NC(=O)CN(C)S(=O)(=O)c2ccc(Br)cc2)c1,396.014,3.017,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
18,Cc1cccc(C(=O)NNC(=O)COc2ccc(Br)cc2Cl)c1,395.988,3.251,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
19,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)NC(C)C)cc2)cc1Br,410.03,3.697,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
20,Cc1cccc(N(CC(=O)NC(C)C)S(=O)(=O)c2ccccc2)c1C,360.151,3.023,6.0,2.0,0.0,0.0,0.0,0.0,0.0,
21,CNC(=O)c1ccc(NC(=S)NC(=O)c2ccc(C)c(Br)c2)cc1,405.015,3.244,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
22,Cc1cccc(C(=O)NNC(=O)COc2ccc(Br)c(Cl)c2)c1,395.988,3.251,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
23,COc1c(C)ccc(C(=O)NC(=S)Nc2ccc(Br)cc2)c1OC,408.014,3.902,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
24,Cc1cccc(C)c1NC(=O)CN(C)S(=O)(=O)c1ccc(Br)cc1,410.03,3.325,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
25,COC(=O)N(CC(=O)Nc1cccc(C)c1C)C(=O)c1ccccc1Br,418.053,3.913,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
26,CC(=O)N(CC(=O)Nc1cccc(C)c1)CC(=O)Nc1ccccc1Br,417.069,3.183,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
27,Cc1cccc(C(=O)NNC(=O)c2ccc(Br)cc2Cl)c1C#N,390.972,3.357,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
28,CCNC(=O)c1ccc(NC(=S)NC(=O)c2cccc(C)c2Cl)cc1,375.081,3.525,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
29,CC(=O)Oc1cc(C(=O)NC(=S)Nc2ccc(Br)cc2)ccc1C,405.999,3.81,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
30,CCNS(=O)(=O)c1ccc(NC(=O)c2ccc(C)c(Br)c2)cc1,396.014,3.308,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
31,Cc1cccc(C)c1NC(=O)CN(C)S(=O)(=O)c1ccc(C(C)C)cc1,374.166,3.686,6.0,2.0,0.0,0.0,0.0,0.0,0.0,
32,Cc1ccc(C)c(NC(=O)CN(c2ccc(Br)cc2)S(C)(=O)=O)c1,410.03,3.471,7.0,2.0,0.0,0.0,0.0,0.0,0.0,
33,CC(=O)N(CC(=O)Nc1cccc(C)c1)C(=O)c1ccc(Br)cc1,388.042,3.385,6.0,2.0,0.0,0.0,0.0,0.0,0.0,
34,CCCC(=O)CNNC(=O)COc1cccc(C)c1,264.147,1.364,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
35,Cc1cccc(OCC(=O)NNCC(=O)[O-])c1,237.088,-1.255,6.0,1.0,0.0,0.0,0.0,0.0,0.0,
36,Cc1ccc(OCC(=O)NCC(=O)[O-])cc1C,236.093,-0.452,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
37,Cc1ccc(OCC(=O)NCC(=O)[O-])cc1O,238.072,-1.054,6.0,1.0,0.0,0.0,0.0,0.0,0.0,
